Artist ID,Artist Name,Track ID,Track Name,Popularity Score
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,76PwajqH3ej4hnk9tgaJpp,Outstanding,75
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,4Z9cAwlkruSbWblPBthygg,10 Feet,75
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,2OaKHGvIxoOzIYjyMsxcT8,3 Headed Snake (feat. Young Thug),75
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,15LOSQ3z91ZB2wMiMhiCjZ,Desire,75
3wyVrVrFCkukjdVIdirGVY,Lil Pump,6flur5o18COKeafnjLHRiJ,Be Like Me (feat. Lil Wayne),80
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,6LkawpJyy0TZJ6Z41gMVyy,The Bees Knees,75
7d3WFRME3vBY2cgoP38RDo,Lil Skies,11p2ty4w5GpoFL4vcK0Cru,Name in the Sand,75
7d3WFRME3vBY2cgoP38RDo,Lil Skies,6PXhPHhZy1MpxuTNA1Ad4L,Stop The Madness (feat. Gunna),76
02kJSzxNuaWGqwubyUba0Z,G-Eazy,4EnEGf9JzAJhF1XNY9DJcD,"West Coast (feat. Blueface, ALLBLACK & YG)",77
64aJYyrXljOodnUG6jvhRD,DJ Luian,4lzxJ4jCuFDXXGkE1LmpKR,Verte Ir,87
4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,5ZOEulH7fvK4ZkMLTOyKL0,Demonz (feat. Brent Faiyaz) - Interlude,75
0hEurMDQu99nJRq8pTxO14,John Mayer,1HNywa8Bk0TmzRwQrzhtPo,I Guess I Just Feel Like,80
7rkW85dBwwrJtlHRDkJDAC,NAV,5rU6kDNXZLXIinFezpbWbO,Tap (feat. Meek Mill),76
6S0IvKlvPMX1RtAYtVpUV8,Drax Project,3qLBz3j26AHO2jBYUQWLA6,Woke Up Late (feat. Hailee Steinfeld),79
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,18PergoIrGmRyeYxnaXJN2,Kill This Love,80
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,6GvLWrqCv92RAXtxV99yZy,Money Honey,0
4DdkRBBYG6Yk9Ka8tdJ9BW,Offset,4W9XGjEUVG9junR70FOLii,Lick,78
1iJdyDcY98X3GMnUesl7tf,Comethazine,35l8ivgXiWiDCv7TCZ50Da,Walk (Remix),76
1pPmIToKXyGdsCF6LmqLmI,Rich The Kid,2VGD6mGeuv6aORaU0vKsHB,Tic Toc (with Tory Lanez),76
7lDVEkjIURPMyUYwoQRrpw,Ryan Hurd,64wjSAPLRnrjNByQCxnX3u,To a T,74
1Xylc3o4UrD53lo9CvFvVg,Zara Larsson,507tQXutCPYNFkpOq8tmKF,Don't Worry Bout Me,83
17lzZA2AlOHwCwFALHttmp,2 Chainz,7jKUnzzOGhAlPjr7LkIUlE,Momma I Hit A Lick (feat. Kendrick Lamar),75
56oDRnqbIiwx4mymNEv7dS,Lizzo,0onslUNmSLDkuYaideYWir,Juice,80
